sampleid	sampleid	sample_type	Nest_id	Larvae_size	Cell_ID	Negative_control	Description_of_sample	Env_exposure	AB_treatment	Year	Sample	AVG_CTscore	logDNA	Gender											
EW-146	146	Prepupae	NA	NA	D	FALSE	Larvae	NA	control	2023	140	20.108	4.790711885	NA											
EW-131	131	Negative_control	NA	NA	NA	FALSE	Sample_control	NA	NA	2023		NA	NA	NA											
EW-149	149	Prepupae	NA	NA	B	FALSE	Larvae	NA	antibiotic	2023	141	26.346	2.884815154	NA											
EW-150	150	Prepupae	NA	NA	C	FALSE	Larvae	NA	antibiotic	2023	142	26.818	2.74060495	NA											
EW-169	169	Prepupae	NA	NA	B	FALSE	Larvae	NA	antibiotic	2023	147	27.317	2.588145432	NA											
EW-135	135	Prepupae	16	NA	C	FALSE	Larvae	NA	control	2023		NA	NA	NA											
EW-123	123	Prepupae	17	NA	B	FALSE	Larvae	NA	antibiotic	2023	157	17.578	5.563703025	NA											
EW-137	137	Prepupae	NA	NA	E	FALSE	Larvae	NA	antibiotic	2023		NA	NA	NA											
EW-138	138	Prepupae	NA	NA	E	FALSE	Larvae	NA	control	2023		NA	NA	NA											
EW-139	139	Prepupae	NA	NA	F	FALSE	Larvae	NA	control	2023		NA	NA	NA											
EW-140	140	Prepupae	NA	NA	G	FALSE	Larvae	NA	antibiotic	2023		NA	NA	NA											
EW-141	141	Prepupae	NA	NA	A	FALSE	Larvae	NA	antibiotic	2023		NA	NA	NA											
EW-142	142	Prepupae	16	NA	D	FALSE	Larvae	NA	control	2023		NA	NA	NA											
EW-143	143	Prepupae	NA	NA	F	FALSE	Larvae	NA	antibiotic	2023		NA	NA	NA											
EW-144	144	Prepupae	NA	NA	H	FALSE	Larvae	NA	antibiotic	2023		NA	NA	NA											
EW-145	145	Prepupae	NA	NA	C	FALSE	Larvae	NA	control	2023		NA	NA	NA											
EW-125	125	Prepupae	NA	NA	A	FALSE	Larvae	NA	control	2023	159	15.668	6.147265506	NA											
EW-147	147	Prepupae	NA	NA	G	FALSE	Larvae	NA	control	2023		NA	NA	NA											
EW-110	110	Adults	3	NA	NA	FALSE	Adults - nest eclosion	Nest_only	NA	2023	172	27.639	2.489764742	Male											
EW-114	114	Adults	3	NA	NA	FALSE	Adults - nest eclosion	Nest_only	NA	2023	175	25.694	3.084020776	Female											
EW-115	115	Adults	3	NA	NA	FALSE	Adults - nest eclosion	Nest_only	NA	2023	183	25.617	3.107546593	Female											
EW-151	151	Prepupae	NA	NA	D	FALSE	Larvae	NA	antibiotic	2023		NA	NA	NA											
EW-152	152	Prepupae	NA	NA	H	FALSE	Larvae	NA	control	2023		NA	NA	NA											
EW-153	153	Prepupae	NA	NA	I	FALSE	Larvae	NA	control	2023		NA	NA	NA											
EW-154	154	Prepupae	NA	NA	I	FALSE	Larvae	NA	antibiotic	2023		NA	NA	NA											
EW-155	155	Food	27	NA	A	FALSE	Food	NA	NA	2023		NA	NA	NA											
EW-156	156	Food	27	NA	B	FALSE	Food	NA	NA	2023		NA	NA	NA											
EW-157	157	Food	27	NA	C	FALSE	Food	NA	NA	2023		NA	NA	NA											
EW-158	158	Food	27	NA	D	FALSE	Food	NA	NA	2023		NA	NA	NA											
EW-159	159	Food	27	NA	E	FALSE	Food	NA	NA	2023		NA	NA	NA											
EW-160	160	Food	27	NA	F	FALSE	Food	NA	NA	2023		NA	NA	NA											
EW-161	161	Food	27	NA	G	FALSE	Food	NA	NA	2023		NA	NA	NA											
EW-162	162	Food	27	NA	H	FALSE	Food	NA	NA	2023		NA	NA	NA											
EW-163	163	Food	27	NA	I	FALSE	Food	NA	NA	2023		NA	NA	NA											
EW-100	100	Adults	8	NA	NA	FALSE	Adults - sterile eclosion	None	NA	2023	167	27.36	2.575007638	Female											
EW-166	166	Prepupae	16	NA	F	FALSE	Larvae	NA	control	2023		NA	NA	NA											
EW-167	167	Prepupae	NA	NA	A	FALSE	Larvae	NA	antibiotic	2023		NA	NA	NA											
EW-168	168	Prepupae	NA	NA	A	FALSE	Larvae	NA	antibiotic	2023		NA	NA	NA											
EW-165	165	Adults	10	NA	NA	FALSE	Adults - nest eclosion	Nest_only	NA	2023		NA	NA	Female											
EW-170	170	Honeybee_Culture	NA	NA	NA	FALSE	Honey bee gut	NA	NA	2023		NA	NA	NA											
